1,2,3,4
395.4,441.0,1224547508,1
417.4,449.1,1224547533,1
445.1,479.6,1224547547,1
459.4,501.1,1224547556,1
475.0,505.5,1224547576,1
483.9,516.2,1224547589,1
468.8,515.0,1224547600,1
471.7,529.4,1224547618,1
471.4,533.9,1224547647,1
459.6,537.2,1224547663,1
423.1,515.2,1224547678,1
425.6,517.2,1224547691,1
448.4,531.8,1224547708,1
415.2,496.9,1224547723,1
437.5,496.2,1224547734,1
438.2,496.1,1224547755,1
420.5,490.3,1224547770,1
433.5,491.0,1224547799,1
423.1,501.7,1224547814,1
420.3,503.0,1224547824,1
420.2,499.6,1224547844,1
420.9,492.5,1224547859,1
417.0,496.3,1224547870,1
411.7,503.1,1224547888,1
413.2,503.5,1224547905,1
415.9,508.4,1224547917,1
418.9,510.1,1224547950,1
425.6,513.9,1224547961,1
430.7,519.3,1224547980,1
431.0,520.0,1224547994,1
425.4,507.7,1224548005,1
421.0,501.1,1224548023,1
418.5,491.5,1224548038,1
416.9,491.4,1224548050,1
426.1,499.5,1224548069,1
429.9,502.9,1224548097,1
429.8,502.3,1224548115,1
421.9,490.1,1224548130,1
422.5,489.1,1224548141,1
423.0,494.3,1224548166,1
428.2,498.3,1224548182,1
425.5,492.5,1224548190,1
422.6,490.8,1224548205,1
421.9,491.8,1224548223,1
418.2,488.9,1224548253,1
414.7,485.7,1224548266,1
412.4,477.0,1224548279,1
416.2,477.2,1224548297,1
420.7,475.6,1224548310,1
424.8,474.0,1224548325,1
427.5,494.1,1224548340,1
425.2,495.4,1224548358,1
422.9,500.8,1224548370,1
422.5,510.4,1224548404,1
428.4,510.5,1224548413,1
429.0,502.5,1224548431,1
433.8,496.9,1224548446,1
436.5,501.1,1224548458,1
433.6,501.3,1224548478,1
430.4,506.9,1224548492,1
424.9,510.3,1224548504,1
422.4,521.3,1224548522,1
420.9,521.4,1224548550,1
421.0,517.7,1224548568,1
422.1,513.4,1224548583,1
421.6,517.7,1224548592,1
432.3,510.8,1224548612,1
433.3,511.2,1224548625,1
430.4,515.5,1224548638,1
426.2,526.0,1224548655,1
426.5,524.8,1224548671,1
422.1,533.6,1224548704,1
424.3,532.5,1224548717,1
430.1,534.3,1224548729,1
438.9,535.7,1224548747,1
439.1,536.0,1224548761,1
434.9,539.6,1224548773,1
428.6,536.2,1224548791,1
428.9,535.5,1224548807,1
423.5,529.6,1224548821,1
418.0,523.7,1224548853,1
417.5,523.9,1224548864,1
415.0,539.0,1224548880,1
415.1,545.1,1224548897,1
415.4,546.8,1224548907,1
415.9,546.7,1224548927,1
417.9,551.4,1224548941,1
415.2,542.6,1224548954,1
437.4,529.7,1224548968,1
444.9,520.9,1224548996,1
455.6,498.7,1224549013,1
453.6,503.1,1224549029,1
440.8,516.3,1224549040,1
443.9,516.4,1224549058,1
444.8,518.0,1224549073,1
447.7,518.5,1224549084,1
438.4,545.0,1224549103,1
445.0,535.5,1224549118,1
442.5,524.0,1224549149,1
442.4,530.4,1224549163,1
439.7,535.3,1224549174,1
442.5,533.6,1224549194,1
441.7,535.9,1224549209,1
444.1,512.1,1224549218,1
445.0,511.0,1224549237,1
434.8,496.5,1224549372,1
434.8,496.5,1224549387,1
451.7,500.6,1224549398,1
473.6,495.6,1224549416,1
482.4,521.3,1224549446,1
485.8,532.2,1224549462,1
483.3,529.3,1224549478,1
470.8,511.2,1224549490,1
448.4,506.2,1224549507,1
444.7,504.1,1224549523,1
446.3,505.2,1224549534,1
449.1,501.9,1224549552,1
452.8,507.0,1224549568,1
482.5,592.0,1224549599,1
473.3,565.1,1224549613,1
462.0,555.5,1224549625,1
461.1,536.9,1224549643,1
454.7,520.0,1224549658,1
439.2,509.2,1224549669,1
441.2,508.6,1224549688,1
445.2,506.7,1224549703,1
441.7,505.6,1224549714,1
