1,2,3,4
231.9,631.5,1224858495,1
216.8,619.4,1224858512,1
231.5,629.8,1224858528,1
228.1,634.1,1224858541,1
206.8,644.7,1224858558,1
224.1,658.9,1224858586,1
268.6,689.8,1224858601,1
215.3,650.6,1224858617,1
223.7,659.6,1224858632,1
254.3,688.5,1224858647,1
257.8,715.2,1224858662,1
268.3,728.1,1224858675,1
279.2,739.0,1224858694,1
283.5,742.4,1224858708,1
291.4,741.8,1224858739,1
310.3,741.1,1224858754,1
314.1,746.1,1224858767,1
306.9,744.7,1224858782,1
304.8,742.6,1224858798,1
290.5,744.1,1224858812,1
285.7,748.0,1224858828,1
288.4,754.8,1224858843,1
286.0,757.1,1224858858,1
296.6,735.1,1224858890,1
301.1,718.2,1224858900,1
305.3,711.2,1224858917,1
305.0,720.6,1224858933,1
305.8,724.8,1224858946,1
278.9,742.3,1224858962,1
276.0,738.7,1224858979,1
274.0,735.0,1224858990,1
263.7,731.7,1224859009,1
273.2,738.0,1224859036,1
258.9,722.1,1224859054,1
259.8,719.5,1224859070,1
258.4,720.6,1224859080,1
257.0,716.9,1224859099,1
254.6,716.0,1224859115,1
255.8,715.8,1224859127,1
255.0,717.9,1224859142,1
249.8,729.5,1224859157,1
242.1,741.1,1224859189,1
246.1,746.4,1224859202,1
247.3,743.2,1224859215,1
244.2,737.2,1224859232,1
246.2,732.2,1224859247,1
245.9,733.0,1224859259,1
250.2,745.5,1224859279,1
289.7,788.5,1224859292,1
314.9,816.0,1224859305,1
328.0,827.7,1224859338,1
306.6,808.7,1224859350,1
258.6,770.1,1224859366,1
306.4,801.7,1224859382,1
266.4,787.0,1224859395,1
280.7,793.6,1224859412,1
308.7,829.2,1224859429,1
288.5,817.1,1224859441,1
279.6,810.1,1224859458,1
235.5,784.0,1224859485,1
219.6,772.1,1224859501,1
227.9,748.2,1224859517,1
230.2,741.8,1224859530,1
231.8,737.0,1224859548,1
233.2,736.5,1224859563,1
233.2,735.4,1224859577,1
237.8,730.9,1224859591,1
238.7,730.9,1224859607,1
240.2,729.4,1224859641,1
241.6,728.6,1224859653,1
242.1,727.6,1224859665,1
243.0,729.6,1224859681,1
311.4,676.5,1224859698,1
310.3,674.2,1224859710,1
313.9,669.9,1224859729,1
273.5,698.0,1224859744,1
276.9,697.3,1224859756,1
308.4,678.2,1224859791,1
304.2,680.2,1224859802,1
308.2,679.0,1224859817,1
309.5,679.4,1224859832,1
306.6,690.8,1224859845,1
