1,2,3,4
415.6,-125.5,1146972896,1
408.1,-110.0,1146972920,1
383.5,-96.8,1146972936,1
309.7,-63.4,1146972951,1
267.6, 23.5,1146972979,1
300.8, 33.8,1146972995,1
270.9, 40.2,1146973010,1
253.8, 67.9,1146973024,1
210.5,126.2,1146973039,1
214.1,114.1,1146973059,1
209.3,110.7,1146973071,1
100.2,154.6,1146973083,1
 75.6,200.2,1146973101,1
143.7,264.0,1146973147,1
188.4,293.3,1146973162,1
272.8,332.2,1146973176,1
305.4,212.0,1146973193,1
330.5,208.4,1146973210,1
370.7, 88.0,1146973225,1
402.1, 66.5,1146973235,1
366.4,122.9,1146973246,1
653.3,252.6,1146973275,1
559.7,280.5,1146973289,1
536.0,196.7,1146973305,1
319.9,-14.4,1146973319,1
383.3, 45.0,1146973338,1
449.7,-60.7,1146973357,1
511.4, 80.7,1146973372,1
415.1, 98.1,1146973389,1
373.3,131.0,1146973402,1
280.0,-54.1,1146973435,1
 65.9,132.5,1146973446,1
368.8,259.4,1146973458,1
212.1,201.4,1146973476,1
101.0,184.4,1146973489,1
280.1,240.7,1146973504,1
253.9,344.4,1146973520,1
234.3,274.1,1146973536,1
244.5,444.3,1146973593,1
249.4,259.1,1146973626,1
283.3,255.7,1146973672,1
286.4,261.8,1146973685,1
426.8,305.4,1146973714,1
424.8,301.3,1146973763,1
426.4,278.9,1146973774,1
424.4,246.4,1146973809,1
530.9,257.3,1146973834,1
518.7,257.6,1146973849,1
450.9,267.7,1146973881,1
361.3,272.4,1146973893,1
405.1,283.8,1146973908,1
376.9,245.2,1146973938,1
486.3,252.9,1146973952,1
464.6,264.7,1146973970,1
429.6,261.6,1146973986,1
407.4,272.6,1146974034,1
374.5,257.0,1146974059,1
359.6,255.7,1146974073,1
330.3,253.9,1146974104,1
306.0,248.8,1146974123,1
443.3,231.8,1146974133,1
561.4,212.3,1146974152,1
581.0,184.0,1146974180,1
458.8,259.6,1146974194,1
500.2,254.7,1146974211,1
521.4,247.9,1146974224,1
434.2,275.0,1146974239,1
438.1,292.1,1146974253,1
589.1,239.0,1146974268,1
557.0,255.9,1146974283,1
535.5,212.6,1146974330,1
568.6,156.9,1146974343,1
547.5,161.9,1146974375,1
613.6,212.0,1146974435,1
627.1,221.2,1146974451,1
620.7,234.1,1146974488,1
618.7,236.5,1146974502,1
508.8,294.8,1146974523,1
420.3,344.4,1146974539,1
382.8,332.9,1146974569,1
474.2,328.4,1146974585,1
475.4,385.8,1146974659,1
400.5,357.6,1146974703,1
400.5,357.6,1146974721,1
400.5,357.6,1146974736,1
396.6,365.0,1146974750,1
397.9,328.8,1146974793,1
493.9,802.8,1146974808,1
634.0,1467.3,1146974852,1
417.4,446.1,1146974884,1
449.4, 63.9,1146974948,1
542.1,-30.5,1146974961,1
552.7, 16.9,1146974975,1
567.2, 12.8,1146974987,1
586.2, 56.2,1146975004,1
581.1,134.3,1146975021,1
632.4, 49.9,1146975035,1
639.7, 23.4,1146975053,1
717.6,225.0,1146975080,1
814.4, 66.2,1146975094,1
707.1, 81.5,1146975109,1
752.2, 49.1,1146975126,1
730.3, 38.2,1146975140,1
754.9, -8.1,1146975156,1
794.1,-51.1,1146975201,1
512.4,-169.7,1146975246,1
411.9,-189.4,1146975261,1
437.1,-58.6,1146975294,1
446.9, -8.1,1146975319,1
456.5, 41.6,1146975338,1
431.3,-172.6,1146975395,1
430.7,-177.2,1146975423,1
465.7,-11.1,1146975441,1
767.2,367.5,1146975455,1
774.4,375.4,1146975501,1
777.0,361.0,1146975542,1
802.8,383.4,1146975561,1
875.3,522.7,1146975588,1
863.4,485.3,1146975605,1
810.0,469.5,1146975653,1
791.9,452.7,1146975692,1
793.1,449.4,1146975707,1
808.0,299.6,1146975735,1
808.5,310.2,1146975751,1
815.1,385.0,1146975782,1
818.5,383.5,1146975796,1
853.2,328.9,1146975848,1
872.7,286.9,1146975877,1
860.6,322.6,1146975922,1
857.4,322.1,1146975940,1
805.9,309.1,1146976011,1
802.2,302.2,1146976026,1
778.5,262.8,1146976058,1
773.0,306.9,1146976072,1
776.2,308.3,1146976104,1
768.8,304.7,1146976147,1
722.0,344.8,1146976206,1
717.5,351.6,1146976224,1
 54.3,-33.8,1146976236,1
-11.3,-62.1,1146976251,1
 -3.8,-20.7,1146976296,1
103.4,216.8,1146976311,1
-182.0,-29.5,1146976393,1
-153.0,-26.4,1146976450,1
-151.0, 30.9,1146976508,1
 53.4,-46.7,1146976525,1
 76.8,-28.8,1146976541,1
 81.2,-33.5,1146976585,1
191.6,-88.0,1146976616,1
227.1,-80.0,1146976630,1
335.0,-98.0,1146976661,1
273.0,-86.6,1146976675,1
492.3,-52.5,1146976724,1
499.9,-66.0,1146976753,1
500.7,-60.0,1146976767,1
526.2,-55.3,1146976799,1
552.0,-49.5,1146976818,1
627.6,-50.6,1146976862,1
640.1,-46.2,1146976896,1
633.3,-51.5,1146976908,1
626.9,-10.6,1146976940,1
611.6,272.3,1146976985,1
610.0,319.9,1146977035,1
823.8,1397.0,1146977059,1
826.8,1318.4,1146977075,1
773.9,909.0,1146977089,1
731.4,786.8,1146977120,1
705.8,358.3,1146977135,1
681.7,132.5,1146977151,1
682.9,-34.8,1146977224,1
675.2,-112.8,1146977238,1
670.9,-156.8,1146977270,1
653.6,-113.5,1146977284,1
641.9,-45.4,1146977315,1
565.0,149.3,1146977346,1
518.0,302.5,1146977361,1
569.4,232.9,1146977390,1
588.1,254.1,1146977405,1
641.6,-99.3,1146977435,1
639.2,-78.7,1146977480,1
625.2,-17.6,1146977494,1
598.7,232.6,1146977524,1
632.3,118.1,1146977538,1
668.8, 38.2,1146977570,1
559.0,271.6,1146977679,1
666.1,-90.6,1146977706,1
666.1,-90.6,1146977811,1
726.1,-108.9,1146977840,1
726.1,-108.9,1146977856,1
729.9,-98.8,1146977888,1
669.7, 43.6,1146977936,1
669.2, 44.8,1146977948,1
649.5, 66.6,1146977976,1
504.1,252.2,1146977989,1
540.0,303.4,1146978113,1
678.2,354.0,1146978122,1
678.2,354.0,1146978135,1
682.0,334.9,1146978150,1
688.2,302.6,1146978163,1
686.7,310.7,1146978179,1
700.0,251.9,1146978195,1
697.0,267.9,1146978227,1
705.7,212.8,1146978240,1
697.6,218.6,1146978257,1
729.0,312.7,1146978284,1
707.9,773.8,1146978302,1
630.5,514.3,1146978322,1
708.6, 52.5,1146978591,1
708.6, 52.5,1146978606,1
814.6,-38.5,1146978636,1
634.7,  5.7,1146978699,1
679.2,-12.6,1146978713,1
669.5, 11.8,1146978726,1
677.2, 25.5,1146978753,1
652.0, 19.7,1146978765,1
696.3, 48.2,1146978795,1
600.2, 67.8,1146978827,1
604.1, 77.1,1146978841,1
639.1, 81.7,1146978855,1
586.7, 90.4,1146978870,1
575.9, 85.9,1146978886,1
617.0, 65.1,1146978900,1
658.9, 35.0,1146978914,1
675.1, -0.1,1146978931,1
683.7,-16.8,1146978947,1
687.8,-19.4,1146978980,1
889.3,-52.8,1146979021,1
932.3,-108.7,1146979065,1
874.3,-65.5,1146979081,1
720.9,115.4,1146979096,1
705.8,128.3,1146979161,1
692.1,136.7,1146979181,1
711.6,213.1,1146979205,1
715.8,221.8,1146979216,1
685.4,285.4,1146979246,1
688.1,289.2,1146979278,1
693.0,271.4,1146979292,1
689.5,193.5,1146979307,1
677.8,112.2,1146979336,1
675.6,108.1,1146979351,1
755.9,570.6,1146979381,1
712.1,221.4,1146979431,1
722.1,197.8,1146979471,1
724.7,197.1,1146979488,1
724.9,197.0,1146979504,1
711.5,523.2,1146979534,1
712.9,490.2,1146979550,1
718.7,347.3,1146979580,1
544.4,631.1,1146979730,1
544.4,631.1,1146979850,1
516.0,292.0,1146979954,1
516.0,292.0,1146979985,1
516.0,292.0,1146980030,1
529.8,289.5,1146980060,1
588.2,278.7,1146980075,1
612.0,201.9,1146980106,1
612.0,202.3,1146980119,1
722.9,335.1,1146980179,1
771.0,295.7,1146980209,1
771.8,262.5,1146980238,1
